Flamengo RJ - Ponte Preta SP,1.11,2:1,WIN,1.75
Palmeiras SP - Sao Paulo SP,7.19,2:1,WIN,1.82
Patriotas Boyacá F.C. - Atlético Nacional Medellin,5.44,2:1,WIN,2.52
Hyundai Steel - Daekyo Kangaroos,1.36,0:0,LOSS,2.01
US Albinoleffe - Fano Calcio,6.71,1:1,LOSS,2.07
Avenir S Marsa - ES Metlaoui,11.3,0:1,LOSS,2.4
FC Ingulets - Bukovina Chernovtsy,17.5,1:1,LOSS,2.41
HJK Helsinki - Pallokissat,7.71,1:0,WIN,2.07
Obolon-Brovar Kiev - FC Naftovyk-Ukrnafta,2.23,0:3,LOSS,2.09
Real Aviles CF - UP Langreo,5.39,2:1,WIN,1.73
Sharjah FC - EMIRATES CLUB RAS AL KHAIMAH,3.3,5:1,WIN,1.64
Sindri - IF Vestri,17.5,3:1,WIN,2.35
FK Rostov Youth - Samara Kryliya Sovetov Youth,3.5,2:0,WIN,1.68
MFK Vitkovice - FK Varnsdorf,9.64,2:3,LOSS,2.02
FC Chayka Peschanokopskoye - FK Angusht Nazran,1.47,1:1,LOSS,1.76
Krasnodar-2 - FC Mashuk-Kmv Pyatigorsk,8.43,4:1,WIN,1.54
Randers FC - Lyngby BK,6.05,2:0,WIN,1.92
VfR Aalen - Hansa Rostock,6.48,1:1,LOSS,2.29
FC Vereya - PFC Montana 1921,2.92,3:0,WIN,2.21
VfB Stuttgart - 1. FC Heidenheim,15.6,1:2,LOSS,1.94
FC Kickers Wurzburg - VfL Bochum,10.3,2:0,WIN,2.58
FC Rostov - FC Kryliya Sovetov Samara,8.02,2:1,WIN,1.72
RSC Anderlecht - Standard Femina de Lige,10.8,0:3,LOSS,1.69
FC Den Bosch - FC Oss,13.5,2:1,WIN,1.86
FC Emmen - Helmond Sport,4.05,1:2,LOSS,1.92
VVV Venlo - FC Volendam,13.1,0:1,LOSS,1.85
NAC Breda - Jong PSV Eindhoven,3.43,1:1,LOSS,1.54
Concarneau - GS Consolat Marseille,6.15,2:0,WIN,2.22
USL Dunkerque - CS Sedan Ardennes,3.65,2:0,WIN,1.94
Cambuur Leeuwarden - Almere City FC,10.2,4:1,WIN,1.59
FC Midtjylland - Esbjerg FB,4.55,3:0,WIN,1.5
NK Domzale - NK Aluminij,7.57,2:0,WIN,1.48
Zaglebie Lubin - Wisla Plock SA,13.5,1:2,LOSS,1.98
Reading FC - Ipswich Town,3.69,2:1,WIN,2.2
UTC De Cajamarca - Comerciantes Unidos,9.98,2:2,LOSS,2.17
